storm_id,source_file,storm_name,timestamp,t_hours,lng,lat,wind_speed,pressure
2020-0001,CH2020BST.txt,VONGFONG,2020-05-09T00:00:00Z,0,132.8,6.5,13,1004
2020-0001,CH2020BST.txt,VONGFONG,2020-05-09T06:00:00Z,6,132.5,6.7,13,1004
2020-0001,CH2020BST.txt,VONGFONG,2020-05-09T12:00:00Z,12,132.2,7.0,13,1004
2020-0001,CH2020BST.txt,VONGFONG,2020-05-09T18:00:00Z,18,131.8,7.3,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-10T00:00:00Z,24,131.2,7.6,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-10T06:00:00Z,30,130.7,7.8,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-10T12:00:00Z,36,130.4,8.0,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-10T18:00:00Z,42,130.0,8.2,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-11T00:00:00Z,48,129.6,8.3,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-11T06:00:00Z,54,129.3,8.7,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-11T12:00:00Z,60,129.1,9.1,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-11T18:00:00Z,66,129.2,9.6,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-12T00:00:00Z,72,129.5,10.1,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-12T06:00:00Z,78,129.6,10.8,15,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-12T12:00:00Z,84,129.5,11.2,18,1000
2020-0001,CH2020BST.txt,VONGFONG,2020-05-12T18:00:00Z,90,129.3,11.7,20,995
2020-0001,CH2020BST.txt,VONGFONG,2020-05-13T00:00:00Z,96,128.9,11.9,25,990
2020-0001,CH2020BST.txt,VONGFONG,2020-05-13T06:00:00Z,102,128.4,12.1,30,980
2020-0001,CH2020BST.txt,VONGFONG,2020-05-13T12:00:00Z,108,127.8,12.2,38,970
2020-0001,CH2020BST.txt,VONGFONG,2020-05-13T18:00:00Z,114,127.0,12.2,42,960
2020-0001,CH2020BST.txt,VONGFONG,2020-05-14T00:00:00Z,120,126.2,12.1,45,955
2020-0001,CH2020BST.txt,VONGFONG,2020-05-14T06:00:00Z,126,125.3,12.2,48,950
2020-0001,CH2020BST.txt,VONGFONG,2020-05-14T12:00:00Z,132,124.5,12.4,40,965
2020-0001,CH2020BST.txt,VONGFONG,2020-05-14T18:00:00Z,138,123.6,12.8,35,970
2020-0001,CH2020BST.txt,VONGFONG,2020-05-15T00:00:00Z,144,122.8,13.2,35,970
2020-0001,CH2020BST.txt,VONGFONG,2020-05-15T06:00:00Z,150,122.0,13.9,28,985
2020-0001,CH2020BST.txt,VONGFONG,2020-05-15T12:00:00Z,156,121.2,15.0,25,990
2020-0001,CH2020BST.txt,VONGFONG,2020-05-15T18:00:00Z,162,120.7,16.0,23,992
2020-0001,CH2020BST.txt,VONGFONG,2020-05-16T00:00:00Z,168,120.2,16.8,20,995
2020-0001,CH2020BST.txt,VONGFONG,2020-05-16T06:00:00Z,174,119.8,18.1,18,998
2020-0001,CH2020BST.txt,VONGFONG,2020-05-16T12:00:00Z,180,119.5,18.9,15,1000
2020-0001,CH2020BST.txt,VONGFONG,2020-05-16T18:00:00Z,186,119.6,19.8,15,1000
2020-0001,CH2020BST.txt,VONGFONG,2020-05-17T00:00:00Z,192,120.1,20.6,13,1002
2020-0001,CH2020BST.txt,VONGFONG,2020-05-17T06:00:00Z,198,121.1,21.4,13,1002
