storm_id,source_file,storm_name,timestamp,t_hours,lng,lat,wind_speed,pressure
2016-0001,CH2016BST.txt,,2016-05-26T06:00:00Z,0,114.8,18.8,13,1002
2016-0001,CH2016BST.txt,,2016-05-26T12:00:00Z,6,113.6,18.9,13,1002
2016-0001,CH2016BST.txt,,2016-05-26T18:00:00Z,12,112.7,19.4,13,1002
2016-0001,CH2016BST.txt,,2016-05-27T00:00:00Z,18,112.2,20.2,15,998
2016-0001,CH2016BST.txt,,2016-05-27T06:00:00Z,24,112.1,21.3,15,998
2016-0001,CH2016BST.txt,,2016-05-27T12:00:00Z,30,112.3,22.5,13,1000
2016-0001,CH2016BST.txt,,2016-05-27T18:00:00Z,36,112.6,23.7,13,1002
2016-0001,CH2016BST.txt,,2016-05-28T00:00:00Z,42,113.4,24.7,10,1005
2016-0001,CH2016BST.txt,,2016-05-28T06:00:00Z,48,114.6,25.7,10,1005
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-02T12:00:00Z,0,145.3,8.2,15,1000
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-02T18:00:00Z,6,145.2,8.5,15,1000
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-03T00:00:00Z,12,145.0,8.8,18,998
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-03T06:00:00Z,18,144.8,9.2,18,998
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-03T12:00:00Z,24,144.2,9.9,20,995
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-03T18:00:00Z,30,143.5,10.9,20,995
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-04T00:00:00Z,36,142.3,11.8,20,995
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-04T06:00:00Z,42,141.0,12.8,23,992
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-04T12:00:00Z,48,139.6,13.5,25,990
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-04T18:00:00Z,54,138.3,14.5,28,985
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-05T00:00:00Z,60,136.6,15.3,33,975
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-05T06:00:00Z,66,135.1,16.3,40,960
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-05T12:00:00Z,72,133.6,17.1,52,940
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-05T18:00:00Z,78,131.9,18.0,62,915
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-06T00:00:00Z,84,130.2,18.7,68,905
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-06T06:00:00Z,90,128.5,19.5,72,895
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-06T12:00:00Z,96,127.0,20.1,72,895
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-06T18:00:00Z,102,125.6,20.7,72,895
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-07T00:00:00Z,108,124.4,21.3,72,895
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-07T06:00:00Z,114,123.4,21.6,72,895
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-07T12:00:00Z,120,122.7,21.9,72,895
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-07T18:00:00Z,126,121.8,22.4,62,915
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-08T00:00:00Z,132,120.7,22.6,45,950
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-08T06:00:00Z,138,120.1,23.2,38,965
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-08T12:00:00Z,144,119.8,23.1,33,975
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-08T18:00:00Z,150,119.6,23.3,25,985
2016-0002,CH2016BST.txt,NEPARTAK,2016-07-09T00:00:00Z,156,119.1,24.3,23,990
