storm_id,source_file,storm_name,timestamp,t_hours,lng,lat,wind_speed,pressure
2017-0001,CH2017BST.txt,,2017-04-14T06:00:00Z,0,130.2,10.9,10,1010
2017-0001,CH2017BST.txt,,2017-04-14T12:00:00Z,6,129.0,10.7,10,1010
2017-0001,CH2017BST.txt,,2017-04-14T18:00:00Z,12,128.0,10.7,10,1010
2017-0001,CH2017BST.txt,,2017-04-15T00:00:00Z,18,127.2,10.9,13,1008
2017-0001,CH2017BST.txt,,2017-04-15T06:00:00Z,24,126.3,11.1,13,1008
2017-0001,CH2017BST.txt,,2017-04-15T12:00:00Z,30,125.4,11.4,13,1008
2017-0001,CH2017BST.txt,,2017-04-15T18:00:00Z,36,124.2,11.4,13,1008
2017-0001,CH2017BST.txt,,2017-04-16T00:00:00Z,42,123.1,11.4,10,1008
2017-0001,CH2017BST.txt,,2017-04-16T06:00:00Z,48,122.1,11.8,10,1008
2017-0001,CH2017BST.txt,,2017-04-16T12:00:00Z,54,121.1,12.2,10,1010
2017-0001,CH2017BST.txt,,2017-04-16T18:00:00Z,60,119.7,12.6,10,1010
2017-0001,CH2017BST.txt,,2017-04-17T00:00:00Z,66,118.0,13.2,10,1010
2017-0001,CH2017BST.txt,,2017-04-17T06:00:00Z,72,116.9,13.9,10,1010
2017-0001,CH2017BST.txt,,2017-04-17T12:00:00Z,78,116.4,14.4,10,1010
2017-0001,CH2017BST.txt,,2017-04-17T18:00:00Z,84,116.6,14.9,10,1010
2017-0001,CH2017BST.txt,,2017-04-18T00:00:00Z,90,116.9,15.3,13,1006
2017-0001,CH2017BST.txt,,2017-04-18T06:00:00Z,96,117.1,15.9,13,1006
2017-0001,CH2017BST.txt,,2017-04-18T12:00:00Z,102,117.5,16.4,13,1006
2017-0001,CH2017BST.txt,,2017-04-18T18:00:00Z,108,117.8,16.9,13,1006
2017-0001,CH2017BST.txt,,2017-04-19T00:00:00Z,114,118.0,17.5,13,1006
2017-0001,CH2017BST.txt,,2017-04-19T06:00:00Z,120,118.1,18.2,13,1008
2017-0001,CH2017BST.txt,,2017-04-19T12:00:00Z,126,118.6,19.2,13,1008
2017-0001,CH2017BST.txt,,2017-04-19T18:00:00Z,132,119.6,20.2,10,1010
2017-0001,CH2017BST.txt,,2017-04-20T00:00:00Z,138,120.8,20.8,10,1010
2017-0001,CH2017BST.txt,,2017-04-20T06:00:00Z,144,122.1,21.7,10,1010
2017-0002,CH2017BST.txt,MUIFA,2017-04-22T18:00:00Z,0,144.1,8.9,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-23T00:00:00Z,6,143.2,9.4,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-23T06:00:00Z,12,142.4,10.1,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-23T12:00:00Z,18,141.8,10.7,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-23T18:00:00Z,24,140.8,11.3,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-24T00:00:00Z,30,139.8,11.9,15,1000
2017-0002,CH2017BST.txt,MUIFA,2017-04-24T06:00:00Z,36,138.8,12.3,15,1000
2017-0002,CH2017BST.txt,MUIFA,2017-04-24T12:00:00Z,42,138.2,12.4,15,1000
2017-0002,CH2017BST.txt,MUIFA,2017-04-24T18:00:00Z,48,137.5,12.5,15,1000
2017-0002,CH2017BST.txt,MUIFA,2017-04-25T00:00:00Z,54,137.0,12.7,15,1000
2017-0002,CH2017BST.txt,MUIFA,2017-04-25T06:00:00Z,60,136.7,13.0,15,1000
2017-0002,CH2017BST.txt,MUIFA,2017-04-25T12:00:00Z,66,136.4,13.2,15,1000
2017-0002,CH2017BST.txt,MUIFA,2017-04-25T18:00:00Z,72,136.1,13.3,18,998
2017-0002,CH2017BST.txt,MUIFA,2017-04-26T00:00:00Z,78,135.7,13.3,18,998
2017-0002,CH2017BST.txt,MUIFA,2017-04-26T06:00:00Z,84,135.0,13.5,18,998
2017-0002,CH2017BST.txt,MUIFA,2017-04-26T12:00:00Z,90,134.4,13.8,18,998
2017-0002,CH2017BST.txt,MUIFA,2017-04-26T18:00:00Z,96,134.3,14.4,18,998
2017-0002,CH2017BST.txt,MUIFA,2017-04-27T00:00:00Z,102,134.3,15.0,18,998
2017-0002,CH2017BST.txt,MUIFA,2017-04-27T06:00:00Z,108,134.6,15.9,18,998
2017-0002,CH2017BST.txt,MUIFA,2017-04-27T12:00:00Z,114,134.7,16.9,15,1000
2017-0002,CH2017BST.txt,MUIFA,2017-04-27T18:00:00Z,120,134.8,17.8,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-28T00:00:00Z,126,135.5,18.5,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-28T06:00:00Z,132,136.3,19.0,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-28T12:00:00Z,138,137.7,19.9,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-28T18:00:00Z,144,139.2,20.7,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-29T00:00:00Z,150,140.3,21.6,13,1002
2017-0002,CH2017BST.txt,MUIFA,2017-04-29T06:00:00Z,156,142.0,22.9,13,1002
2017-0003,CH2017BST.txt,MERBOK,2017-06-10T00:00:00Z,0,119.8,13.1,13,1006
2017-0003,CH2017BST.txt,MERBOK,2017-06-10T06:00:00Z,6,118.7,13.4,13,1006
2017-0003,CH2017BST.txt,MERBOK,2017-06-10T12:00:00Z,12,117.9,14.1,13,1002
2017-0003,CH2017BST.txt,MERBOK,2017-06-10T18:00:00Z,18,117.4,14.9,13,1002
2017-0003,CH2017BST.txt,MERBOK,2017-06-11T00:00:00Z,24,116.9,16.0,15,1000
2017-0003,CH2017BST.txt,MERBOK,2017-06-11T06:00:00Z,30,116.6,17.2,15,1000
2017-0003,CH2017BST.txt,MERBOK,2017-06-11T12:00:00Z,36,116.3,18.1,18,998
2017-0003,CH2017BST.txt,MERBOK,2017-06-11T15:00:00Z,39,116.0,18.7,20,995
2017-0003,CH2017BST.txt,MERBOK,2017-06-11T18:00:00Z,42,115.8,19.3,20,995
2017-0003,CH2017BST.txt,MERBOK,2017-06-11T21:00:00Z,45,115.5,19.8,20,995
2017-0003,CH2017BST.txt,MERBOK,2017-06-12T00:00:00Z,48,115.1,20.2,23,990
2017-0003,CH2017BST.txt,MERBOK,2017-06-12T03:00:00Z,51,114.8,20.6,23,990
2017-0003,CH2017BST.txt,MERBOK,2017-06-12T06:00:00Z,54,114.6,21.1,25,988
2017-0003,CH2017BST.txt,MERBOK,2017-06-12T09:00:00Z,57,114.5,21.6,28,982
2017-0003,CH2017BST.txt,MERBOK,2017-06-12T12:00:00Z,60,114.5,22.0,30,980
2017-0003,CH2017BST.txt,MERBOK,2017-06-12T15:00:00Z,63,114.5,22.5,25,988
