storm_id,source_file,storm_name,timestamp,t_hours,lng,lat,wind_speed,pressure
2022-0001,CH2022BST.txt,MALAKAS,2022-04-07T00:00:00Z,0,148.5,3.9,13,1002
2022-0001,CH2022BST.txt,MALAKAS,2022-04-07T06:00:00Z,6,147.6,4.0,13,1002
2022-0001,CH2022BST.txt,MALAKAS,2022-04-07T12:00:00Z,12,147.0,4.2,15,1000
2022-0001,CH2022BST.txt,MALAKAS,2022-04-07T18:00:00Z,18,146.4,4.5,15,1000
2022-0001,CH2022BST.txt,MALAKAS,2022-04-08T00:00:00Z,24,146.2,5.0,18,998
2022-0001,CH2022BST.txt,MALAKAS,2022-04-08T06:00:00Z,30,145.8,5.6,18,998
2022-0001,CH2022BST.txt,MALAKAS,2022-04-08T12:00:00Z,36,145.2,6.2,18,998
2022-0001,CH2022BST.txt,MALAKAS,2022-04-08T18:00:00Z,42,144.7,6.6,20,995
2022-0001,CH2022BST.txt,MALAKAS,2022-04-09T00:00:00Z,48,144.2,7.0,20,995
2022-0001,CH2022BST.txt,MALAKAS,2022-04-09T06:00:00Z,54,143.6,7.4,20,995
2022-0001,CH2022BST.txt,MALAKAS,2022-04-09T12:00:00Z,60,142.5,8.2,23,992
2022-0001,CH2022BST.txt,MALAKAS,2022-04-09T18:00:00Z,66,141.3,9.4,23,992
2022-0001,CH2022BST.txt,MALAKAS,2022-04-10T00:00:00Z,72,139.8,10.6,25,990
2022-0001,CH2022BST.txt,MALAKAS,2022-04-10T06:00:00Z,78,138.6,11.3,25,990
2022-0001,CH2022BST.txt,MALAKAS,2022-04-10T12:00:00Z,84,137.3,11.8,25,990
2022-0001,CH2022BST.txt,MALAKAS,2022-04-10T18:00:00Z,90,136.8,11.9,25,990
2022-0001,CH2022BST.txt,MALAKAS,2022-04-11T00:00:00Z,96,136.4,12.4,25,990
2022-0001,CH2022BST.txt,MALAKAS,2022-04-11T06:00:00Z,102,136.0,13.3,25,990
2022-0001,CH2022BST.txt,MALAKAS,2022-04-11T12:00:00Z,108,135.7,14.1,28,985
2022-0001,CH2022BST.txt,MALAKAS,2022-04-11T18:00:00Z,114,135.6,14.7,30,980
2022-0001,CH2022BST.txt,MALAKAS,2022-04-12T00:00:00Z,120,135.1,15.3,33,975
2022-0001,CH2022BST.txt,MALAKAS,2022-04-12T06:00:00Z,126,135.1,15.8,38,965
2022-0001,CH2022BST.txt,MALAKAS,2022-04-12T12:00:00Z,132,135.4,16.1,42,955
2022-0001,CH2022BST.txt,MALAKAS,2022-04-12T18:00:00Z,138,135.9,16.7,42,955
2022-0001,CH2022BST.txt,MALAKAS,2022-04-13T00:00:00Z,144,136.4,17.3,48,945
2022-0001,CH2022BST.txt,MALAKAS,2022-04-13T06:00:00Z,150,137.0,17.8,48,945
2022-0001,CH2022BST.txt,MALAKAS,2022-04-13T12:00:00Z,156,137.6,18.8,48,945
2022-0001,CH2022BST.txt,MALAKAS,2022-04-13T18:00:00Z,162,137.5,19.7,52,940
2022-0001,CH2022BST.txt,MALAKAS,2022-04-14T00:00:00Z,168,138.0,20.6,52,940
2022-0001,CH2022BST.txt,MALAKAS,2022-04-14T06:00:00Z,174,138.5,21.6,45,950
2022-0001,CH2022BST.txt,MALAKAS,2022-04-14T12:00:00Z,180,139.2,22.7,42,955
2022-0001,CH2022BST.txt,MALAKAS,2022-04-14T18:00:00Z,186,140.3,24.3,38,960
2022-0001,CH2022BST.txt,MALAKAS,2022-04-15T00:00:00Z,192,140.9,26.3,33,965
2022-0001,CH2022BST.txt,MALAKAS,2022-04-15T06:00:00Z,198,141.9,28.1,28,970
2022-0001,CH2022BST.txt,MALAKAS,2022-04-15T12:00:00Z,204,143.9,30.1,25,975
2022-0001,CH2022BST.txt,MALAKAS,2022-04-15T18:00:00Z,210,146.8,32.3,25,975
2022-0001,CH2022BST.txt,MALAKAS,2022-04-16T00:00:00Z,216,149.4,34.8,23,978
2022-0001,CH2022BST.txt,MALAKAS,2022-04-16T06:00:00Z,222,152.2,38.1,23,978
2022-0001,CH2022BST.txt,MALAKAS,2022-04-16T12:00:00Z,228,155.7,41.9,23,978
2022-0001,CH2022BST.txt,MALAKAS,2022-04-16T18:00:00Z,234,158.1,44.4,20,970
2022-0001,CH2022BST.txt,MALAKAS,2022-04-17T00:00:00Z,240,161.0,46.8,20,970
2022-0001,CH2022BST.txt,MALAKAS,2022-04-17T06:00:00Z,246,166.0,49.1,20,970
2022-0001,CH2022BST.txt,MALAKAS,2022-04-17T12:00:00Z,252,171.6,51.2,20,970
2022-0001,CH2022BST.txt,MALAKAS,2022-04-17T18:00:00Z,258,178.4,53.1,20,970
2022-0001,CH2022BST.txt,MALAKAS,2022-04-18T00:00:00Z,264,184.8,53.4,18,972
2022-0002,CH2022BST.txt,MEGI,2022-04-09T00:00:00Z,0,127.1,10.8,13,1002
2022-0002,CH2022BST.txt,MEGI,2022-04-09T06:00:00Z,6,126.7,10.8,13,1002
2022-0002,CH2022BST.txt,MEGI,2022-04-09T12:00:00Z,12,126.4,10.8,15,1000
2022-0002,CH2022BST.txt,MEGI,2022-04-09T18:00:00Z,18,126.0,10.8,18,998
2022-0002,CH2022BST.txt,MEGI,2022-04-10T00:00:00Z,24,125.7,10.8,20,995
2022-0002,CH2022BST.txt,MEGI,2022-04-10T06:00:00Z,30,125.5,10.8,20,995
2022-0002,CH2022BST.txt,MEGI,2022-04-10T12:00:00Z,36,125.3,10.9,18,998
2022-0002,CH2022BST.txt,MEGI,2022-04-10T18:00:00Z,42,125.2,11.0,18,998
2022-0002,CH2022BST.txt,MEGI,2022-04-11T00:00:00Z,48,125.1,11.1,15,1000
2022-0002,CH2022BST.txt,MEGI,2022-04-11T06:00:00Z,54,125.1,11.2,15,1000
2022-0002,CH2022BST.txt,MEGI,2022-04-11T12:00:00Z,60,125.1,11.3,13,1002
2022-0002,CH2022BST.txt,MEGI,2022-04-11T18:00:00Z,66,125.1,11.3,13,1002
2022-0002,CH2022BST.txt,MEGI,2022-04-12T00:00:00Z,72,125.1,11.3,13,1002
2022-0003,CH2022BST.txt,CHABA,2022-06-29T00:00:00Z,0,115.9,15.4,13,1000
2022-0003,CH2022BST.txt,CHABA,2022-06-29T06:00:00Z,6,115.8,15.5,13,1000
2022-0003,CH2022BST.txt,CHABA,2022-06-29T12:00:00Z,12,115.7,15.6,13,1000
2022-0003,CH2022BST.txt,CHABA,2022-06-29T18:00:00Z,18,115.6,15.7,13,1000
2022-0003,CH2022BST.txt,CHABA,2022-06-30T00:00:00Z,24,115.5,15.9,15,995
2022-0003,CH2022BST.txt,CHABA,2022-06-30T06:00:00Z,30,115.4,16.1,20,990
2022-0003,CH2022BST.txt,CHABA,2022-06-30T12:00:00Z,36,115.2,16.8,23,985
2022-0003,CH2022BST.txt,CHABA,2022-06-30T18:00:00Z,42,114.7,17.4,25,980
2022-0003,CH2022BST.txt,CHABA,2022-07-01T00:00:00Z,48,114.2,18.2,28,978
2022-0003,CH2022BST.txt,CHABA,2022-07-01T06:00:00Z,54,113.3,19.0,30,975
2022-0003,CH2022BST.txt,CHABA,2022-07-01T09:00:00Z,57,113.1,19.2,30,975
2022-0003,CH2022BST.txt,CHABA,2022-07-01T12:00:00Z,60,112.8,19.5,30,975
2022-0003,CH2022BST.txt,CHABA,2022-07-01T15:00:00Z,63,112.4,19.8,30,975
2022-0003,CH2022BST.txt,CHABA,2022-07-01T18:00:00Z,66,112.0,20.1,33,970
2022-0003,CH2022BST.txt,CHABA,2022-07-01T21:00:00Z,69,111.8,20.3,35,965
2022-0003,CH2022BST.txt,CHABA,2022-07-02T00:00:00Z,72,111.6,20.6,38,960
2022-0003,CH2022BST.txt,CHABA,2022-07-02T03:00:00Z,75,111.5,20.9,38,960
2022-0003,CH2022BST.txt,CHABA,2022-07-02T06:00:00Z,78,111.2,21.3,35,965
2022-0003,CH2022BST.txt,CHABA,2022-07-02T09:00:00Z,81,110.9,21.6,30,970
2022-0003,CH2022BST.txt,CHABA,2022-07-02T12:00:00Z,84,110.7,21.9,25,980
2022-0003,CH2022BST.txt,CHABA,2022-07-02T15:00:00Z,87,110.5,22.3,25,982
2022-0003,CH2022BST.txt,CHABA,2022-07-02T18:00:00Z,90,110.4,22.6,23,985
2022-0003,CH2022BST.txt,CHABA,2022-07-02T21:00:00Z,93,110.4,22.9,20,988
2022-0003,CH2022BST.txt,CHABA,2022-07-03T00:00:00Z,96,110.4,23.4,20,988
2022-0003,CH2022BST.txt,CHABA,2022-07-03T03:00:00Z,99,110.4,23.8,18,992
2022-0003,CH2022BST.txt,CHABA,2022-07-03T06:00:00Z,102,110.4,24.2,18,992
2022-0003,CH2022BST.txt,CHABA,2022-07-03T09:00:00Z,105,110.4,24.5,15,994
2022-0003,CH2022BST.txt,CHABA,2022-07-03T12:00:00Z,108,110.5,24.8,15,994
2022-0003,CH2022BST.txt,CHABA,2022-07-03T15:00:00Z,111,110.6,25.1,15,994
2022-0003,CH2022BST.txt,CHABA,2022-07-03T18:00:00Z,114,110.9,25.4,13,994
2022-0003,CH2022BST.txt,CHABA,2022-07-03T21:00:00Z,117,111.3,25.7,13,994
2022-0003,CH2022BST.txt,CHABA,2022-07-04T00:00:00Z,120,111.6,26.0,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-04T03:00:00Z,123,112.0,26.3,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-04T06:00:00Z,126,112.3,26.7,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-04T09:00:00Z,129,112.6,27.1,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-04T12:00:00Z,132,112.9,27.4,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-04T15:00:00Z,135,113.1,27.8,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-04T18:00:00Z,138,113.4,28.2,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-04T21:00:00Z,141,113.9,28.8,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-05T00:00:00Z,144,114.0,29.3,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-05T03:00:00Z,147,114.2,29.8,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-05T06:00:00Z,150,114.4,30.3,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-05T09:00:00Z,153,114.6,30.8,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-05T12:00:00Z,156,115.1,31.7,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-05T15:00:00Z,159,115.3,32.7,10,996
2022-0003,CH2022BST.txt,CHABA,2022-07-05T18:00:00Z,162,115.3,33.2,10,996
