storm_id,source_file,storm_name,timestamp,t_hours,lng,lat,wind_speed,pressure
2024-0001,CH2024BST.txt,EWINIAR,2024-05-24T00:00:00Z,0,128.3,8.3,13,1004
2024-0001,CH2024BST.txt,EWINIAR,2024-05-24T06:00:00Z,6,127.3,9.0,13,1004
2024-0001,CH2024BST.txt,EWINIAR,2024-05-24T12:00:00Z,12,126.5,10.0,13,1004
2024-0001,CH2024BST.txt,EWINIAR,2024-05-24T18:00:00Z,18,125.6,11.1,15,1002
2024-0001,CH2024BST.txt,EWINIAR,2024-05-25T00:00:00Z,24,124.0,12.3,15,1002
2024-0001,CH2024BST.txt,EWINIAR,2024-05-25T06:00:00Z,30,122.9,12.7,15,1002
2024-0001,CH2024BST.txt,EWINIAR,2024-05-25T12:00:00Z,36,122.4,13.1,18,998
2024-0001,CH2024BST.txt,EWINIAR,2024-05-25T18:00:00Z,42,121.9,13.5,23,990
2024-0001,CH2024BST.txt,EWINIAR,2024-05-26T00:00:00Z,48,121.5,14.0,28,980
2024-0001,CH2024BST.txt,EWINIAR,2024-05-26T06:00:00Z,54,121.7,14.4,33,975
2024-0001,CH2024BST.txt,EWINIAR,2024-05-26T12:00:00Z,60,122.2,14.9,38,965
2024-0001,CH2024BST.txt,EWINIAR,2024-05-26T18:00:00Z,66,122.5,15.5,42,955
2024-0001,CH2024BST.txt,EWINIAR,2024-05-27T00:00:00Z,72,122.8,15.8,42,955
2024-0001,CH2024BST.txt,EWINIAR,2024-05-27T06:00:00Z,78,123.3,16.2,42,955
2024-0001,CH2024BST.txt,EWINIAR,2024-05-27T12:00:00Z,84,124.0,16.9,38,965
2024-0001,CH2024BST.txt,EWINIAR,2024-05-27T18:00:00Z,90,124.6,17.5,38,965
2024-0001,CH2024BST.txt,EWINIAR,2024-05-28T00:00:00Z,96,125.3,18.3,35,970
2024-0001,CH2024BST.txt,EWINIAR,2024-05-28T06:00:00Z,102,126.7,19.7,35,970
2024-0001,CH2024BST.txt,EWINIAR,2024-05-28T12:00:00Z,108,128.0,20.8,35,970
2024-0001,CH2024BST.txt,EWINIAR,2024-05-28T18:00:00Z,114,129.5,22.4,35,970
2024-0001,CH2024BST.txt,EWINIAR,2024-05-29T00:00:00Z,120,130.8,24.0,35,970
2024-0001,CH2024BST.txt,EWINIAR,2024-05-29T06:00:00Z,126,132.1,25.5,33,975
2024-0001,CH2024BST.txt,EWINIAR,2024-05-29T12:00:00Z,132,133.2,26.4,33,975
2024-0001,CH2024BST.txt,EWINIAR,2024-05-29T18:00:00Z,138,133.9,27.1,30,980
2024-0001,CH2024BST.txt,EWINIAR,2024-05-30T00:00:00Z,144,135.0,27.8,28,982
2024-0001,CH2024BST.txt,EWINIAR,2024-05-30T06:00:00Z,150,135.8,28.8,23,990
2024-0001,CH2024BST.txt,EWINIAR,2024-05-30T12:00:00Z,156,136.9,30.0,20,992
2024-0001,CH2024BST.txt,EWINIAR,2024-05-30T18:00:00Z,162,138.4,31.7,18,994
2024-0001,CH2024BST.txt,EWINIAR,2024-05-31T00:00:00Z,168,139.8,33.1,18,994
2024-0001,CH2024BST.txt,EWINIAR,2024-05-31T06:00:00Z,174,143.0,34.6,20,992
2024-0001,CH2024BST.txt,EWINIAR,2024-05-31T12:00:00Z,180,146.2,36.1,20,992
2024-0001,CH2024BST.txt,EWINIAR,2024-05-31T18:00:00Z,186,150.9,38.1,20,992
2024-0001,CH2024BST.txt,EWINIAR,2024-06-01T00:00:00Z,192,155.1,39.3,20,992
2024-0001,CH2024BST.txt,EWINIAR,2024-06-01T06:00:00Z,198,158.6,40.5,20,992
2024-0001,CH2024BST.txt,EWINIAR,2024-06-01T12:00:00Z,204,162.6,41.6,20,992
2024-0001,CH2024BST.txt,EWINIAR,2024-06-01T18:00:00Z,210,168.2,43.3,20,992
2024-0001,CH2024BST.txt,EWINIAR,2024-06-02T00:00:00Z,216,173.8,44.8,20,992
2024-0001,CH2024BST.txt,EWINIAR,2024-06-02T06:00:00Z,222,179.2,46.2,20,992
2024-0002,CH2024BST.txt,MALIKSI,2024-05-30T06:00:00Z,0,112.0,18.1,13,1002
2024-0002,CH2024BST.txt,MALIKSI,2024-05-30T12:00:00Z,6,112.0,18.3,15,1000
2024-0002,CH2024BST.txt,MALIKSI,2024-05-30T18:00:00Z,12,112.0,18.6,15,1000
2024-0002,CH2024BST.txt,MALIKSI,2024-05-30T21:00:00Z,15,111.9,18.9,15,1000
2024-0002,CH2024BST.txt,MALIKSI,2024-05-31T00:00:00Z,18,111.9,19.3,15,1000
2024-0002,CH2024BST.txt,MALIKSI,2024-05-31T03:00:00Z,21,112.0,19.8,15,1000
2024-0002,CH2024BST.txt,MALIKSI,2024-05-31T06:00:00Z,24,111.9,20.3,18,998
2024-0002,CH2024BST.txt,MALIKSI,2024-05-31T09:00:00Z,27,111.7,20.5,18,998
2024-0002,CH2024BST.txt,MALIKSI,2024-05-31T12:00:00Z,30,111.5,20.8,18,998
2024-0002,CH2024BST.txt,MALIKSI,2024-05-31T15:00:00Z,33,111.5,21.2,18,998
2024-0002,CH2024BST.txt,MALIKSI,2024-05-31T18:00:00Z,36,111.6,21.6,18,998
2024-0002,CH2024BST.txt,MALIKSI,2024-05-31T21:00:00Z,39,111.9,22.0,18,998
2024-0002,CH2024BST.txt,MALIKSI,2024-06-01T00:00:00Z,42,112.1,22.4,15,1000
2024-0002,CH2024BST.txt,MALIKSI,2024-06-01T03:00:00Z,45,112.3,22.8,15,1000
2024-0002,CH2024BST.txt,MALIKSI,2024-06-01T06:00:00Z,48,112.6,23.3,13,1002
2024-0002,CH2024BST.txt,MALIKSI,2024-06-01T09:00:00Z,51,112.9,23.7,13,1002
2024-0002,CH2024BST.txt,MALIKSI,2024-06-01T12:00:00Z,54,113.5,24.0,13,1002
2024-0002,CH2024BST.txt,MALIKSI,2024-06-01T15:00:00Z,57,114.4,24.4,10,1005
2024-0002,CH2024BST.txt,MALIKSI,2024-06-01T18:00:00Z,60,115.0,24.7,10,1005
2024-0002,CH2024BST.txt,MALIKSI,2024-06-01T21:00:00Z,63,115.6,24.8,10,1005
2024-0002,CH2024BST.txt,MALIKSI,2024-06-02T00:00:00Z,66,116.3,24.8,10,1005
